Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
SKBBL,803.00,-0.25,817.00,789.00,789.00,"10,813",,
SLBBL,935.00,-1.66,968.00,930.00,968.00,"7,011",,
SLBSL,"2,854.00",9.98,"2,854.00","2,335.50","2,543.10","36,584",,
SLCF,9.44,1.29,9.44,9.20,9.20,"29,650",,
SMATA,887.90,2.78,889.70,860.00,870.00,"11,930",,
SMB,"2,700.00",-2.53,"2,823.00","2,695.00","2,823.00","8,215",,
SMFBS,"1,966.00",0.81,"1,987.90","1,938.40","1,938.40","3,778",,
SMH,"1,050.10",-0.47,"1,089.00","1,049.00","1,076.00","9,065",,
SMHL,"1,175.00",0.68,"1,205.00","1,162.00","1,190.00","25,262",,
SMJC,612.00,1.68,615.90,602.10,613.00,"82,118",,
SMPDA,930.00,0.11,946.00,921.00,946.00,"9,634",,
SNLI,639.90,0.5,642.00,631.00,631.00,"27,407",,
SONA,469.00,0,473.10,465.00,470.00,"39,818",,
SPC,627.00,4.85,632.00,605.00,605.00,"186,334",,
SPDL,345.00,1.47,351.00,343.00,344.90,"167,367",,
SPHL,872.20,-0.32,909.00,872.20,885.00,"12,654",,
SPIL,825.00,0,827.20,809.10,809.10,"8,978",,
SPL,"1,002.00",-2.23,"1,050.00","1,000.30","1,024.90","8,752",,
SRBLD83,"1,069.00",0.85,"1,069.00","1,047.70","1,048.00",75,,
SRLI,421.00,-0.02,426.90,420.00,421.10,"63,766",,
SSHL,231.90,1.27,234.00,228.00,230.00,"127,358",,
STC,"5,300.00",-0.02,"5,385.00","5,286.50","5,385.00","1,943",,
SWBBL,865.00,-0.8,875.00,856.00,857.00,"13,164",,
SWMF,753.00,0.4,763.00,745.10,760.00,"7,382",,
TAMOR,601.40,-1.89,618.00,601.00,601.00,"96,506",,
TPC,590.00,2.82,605.00,577.00,581.00,"174,146",,
TRH,"1,175.00",1.82,"1,247.00","1,155.10","1,177.00","16,093",,
TSHL,951.50,10,951.50,866.10,875.00,"43,928",,
TVCL,630.00,4.3,631.30,605.00,605.00,"81,696",,
UAIL,670.00,2.29,673.00,642.20,655.00,"24,447",,
UHEWA,874.00,2.22,879.20,855.00,872.00,"15,544",,
ULBSL,"4,675.00",10,"4,675.00","4,170.00","4,170.00","9,668",,
ULHC,582.00,2.11,583.00,568.00,570.00,"68,427",,
UMHL,355.00,1.72,357.00,348.10,355.90,"169,395",,
UMRH,735.00,3.23,740.00,701.10,726.20,"204,935",,
UNHPL,359.00,5.59,367.00,339.00,346.70,"348,804",,
UNL,"46,500.00",1.09,"46,500.00","46,000.00","46,000.00",30,,
UNLB,"2,700.00",0.75,"2,888.60","2,630.00","2,635.00","13,647",,
UPCL,302.50,6.14,307.00,286.00,289.90,"370,719",,
UPPER,201.70,0.1,204.90,200.00,204.90,"183,431",,
USHEC,735.00,1.41,752.00,712.00,712.00,"39,476",,
USHL,832.20,1.3,835.00,814.00,825.00,"10,101",,
USLB,"1,545.00",0.59,"1,565.00","1,523.10","1,523.10","3,186",,
VLBS,839.10,-0.23,874.00,839.10,857.00,"6,951",,
VLUCL,756.00,2.3,770.00,732.00,738.00,"62,185",,
WNLB,"2,758.10",-0.93,"2,784.80","2,730.00","2,733.10","2,098",,
